year,real_price,nominal_price
1976,3.23,0.61
1977,3.25,0.66
1978,3.08,0.67
1979,3.73,0.9
1980,4.53,1.25
1981,4.55,1.38
1982,3.91,1.26
1983,3.63,1.21
1984,3.39,1.18
1985,3.25,1.17
1986,2.42,0.89
1987,2.41,0.91
1988,2.31,0.91
1989,2.39,0.99
1990,2.59,1.13
1991,2.43,1.1
1992,2.32,1.09
1993,2.22,1.07
1994,2.18,1.08
1995,2.19,1.11
1996,2.3,1.2
1997,2.24,1.2
1998,1.89,1.03
1999,2.05,1.14
2000,2.59,1.49
2001,2.41,1.43
2002,2.24,1.34
2003,2.54,1.56
2004,2.94,1.85
2005,3.49,2.27
2006,3.83,2.58
2007,4.06,2.81
2008,4.54,3.26
2009,3.28,2.35
2010,3.82,2.78
2011,4.7,3.53
2012,4.74,3.63
2013,4.51,3.51
2014,4.26,3.36
2015,3.07,2.43
2016,2.69,2.15
2017,2.96,2.42
2018,3.26,2.73
2019,3.05,2.6
2020,2.53,2.18
2021,3.34,3.02
2022,4.07,3.97
2023,3.27,3.32
2024,2.98,3.09
